account_id,signup_date,utm_source,utm_campaign,ref,account_type,_sig_parsed
acc_7a9a7bd96309,2025-07-11,,Campaign_B,,agency,2025-07-11
acc_ad1a2288f9f0,2025-06-02,google,Campain_C,,normal,2025-06-02
acc_cd0df487207d,2025-07-22,google,Campaign_A,,normal,2025-07-22
acc_cb6662778981,2025-06-23,organic,Campaign_E,guzman.net,normal,2025-06-23
acc_7f19e85e280c,2025-07-10,organic,Campaign_E,,normal,2025-07-10
acc_4f9221b823de,2025-06-18,direct,Campaign_C,,agency,2025-06-18
acc_94627d272e03,2025-06-11,referral,Campaign_A,,normal,2025-06-11
acc_80172064e203,2025-07-20,google,Campaign_A,,agency,2025-07-20
acc_b4f6cc6c5a8b,2025-07-12,direct,Campaign_F,,normal,2025-07-12
acc_233db753bbe9,2025-07-28,referral,Campaign_A,,normal,2025-07-28
acc_fbcfdd93c793,2025/07/21,email,Campaign_A,,agency,2025-07-21
acc_b5a38eeaa4b5,2025-07-17,google,Campaign_C,,normal,2025-07-17
acc_fd516f001245,2025-07-27,email,Campaign_C,james.com,normal,2025-07-27
acc_c0ee882b6394,2025-06-10,organic,Campaign_C,,Normal,2025-06-10
acc_45b403f77b60,2025-07-24,organic,Campaign_A,zuniga.com,agency,2025-07-24
acc_5d49497b349c,2025-06-09,facebook,Campaign_F,,agency,2025-06-09
acc_f4a28f6b686c,2025-07-15,facebook,Campaign_C,cohen.com,normal,2025-07-15
acc_8cf3be743261,2025-06-02,referral,Campaign_D,,Normal,2025-06-02
acc_8dddca12d227,2025-06-16,organic,Campaign_A,,normal,2025-06-16
acc_5ebe796633c8,2025-06-13,google,Campaign_C,rios.info,normal,2025-06-13
acc_df3ef495feb1,2025-06-26,email,Campaign_E,,normal,2025-06-26
acc_2785cbdb491f,2025-07-30,google,,baker.biz,agency,2025-07-30
acc_2da4bc8814d1,2025-07-25,facebook,Campaign_C,,normal,2025-07-25
acc_52e3cd0bae2c,2025-07-21,direct,Campaign_D,,normal,2025-07-21
acc_264a22a679cd,2025-06-04,referral,,,agency,2025-06-04
acc_21c78ca26dc8,2025-07-03,google,Campaign_A,,agency,2025-07-03
acc_02af0e8cbe21,2025-06-03,referral,Campaign_D,,normal,2025-06-03
acc_4177f4997cc5,2025-06-09,email,Campaign_C,,normal,2025-06-09
acc_1335b4cffd36,2025-07-05,facebook,Campaign_A,,normal,2025-07-05
acc_60a51d8a8a9d,2025-06-20,referral,Campaign_E,,agency,2025-06-20
acc_42a818bbe50c,2025-06-17,google,Campaign_E,,normal,2025-06-17
acc_97e42d3219d6,2025-07-03,direct,Campaign_F,gonzalez.net,normal,2025-07-03
acc_29df969cba0c,2025-06-17,facebook,,,agency,2025-06-17
acc_96d3eb07c344,2025-07-24,organic,Campaign_A,hickman.com,normal,2025-07-24
acc_0d88c4742617,2025-06-14,email,Campaign_A,,normal,2025-06-14
acc_00477c2a82f8,2025-07-26,facebook,,dennis.net,normal,2025-07-26
acc_e14964f0f00c,2025-07-26,email,Campaign_B,anderson.net,agency,2025-07-26
acc_35cb9de016c8,2025-06-30,organic,,,normal,2025-06-30
acc_97bc8a8a6119,2025-06-18,organic,Campaign_C,hickman.com,normal,2025-06-18
acc_c1594018eaa5,2025-06-17,google,Campaign_C,,normal,2025-06-17
acc_89fafce6e700,2025-06-17,google,Campaign_A,hayes.com,normal,2025-06-17
acc_d9aba706993f,2025-06-05,email,Campaign_D,spencer.com,normal,2025-06-05
acc_64ee61877335,2025-07-15,organic,Campaign_A,jones.com,normal,2025-07-15
acc_84f849e7a1da,2025-07-24,google,Campaign_A,,normal,2025-07-24
acc_0cdf4c585e01,2025-07-21,email,Campaign_A,,agency,2025-07-21
acc_b05d17769442,2025-06-15,facebook,Campaign_A,kennedy.com,normal,2025-06-15
acc_e37168684d8c,2025-07-16,email,Campaign_C,davis.com,agency,2025-07-16
acc_df474ee5fd58,2025-06-15,facebook,Campaign_D,jenkins-shields.com,normal,2025-06-15
acc_cefa91903649,2025-07-04,referral,Campaign_F,valdez.com,normal,2025-07-04
acc_476954a12228,2025-07-28,facebook,Campaign_C,,normal,2025-07-28
acc_bf1042661753,2025-06-18,direct,Campaign_B,,normal,2025-06-18
acc_026ef1694661,2025-07-16,facebook,Campaign_C,,normal,2025-07-16
acc_b334d2e455ca,2025-07-15,google,,,normal,2025-07-15
acc_aaed032c6418,2025-06-27,referral,Campaign_C,,Normal,2025-06-27
acc_9a1ab8ec7a8c,2025-07-22,direct,Campaign_E,,agency,2025-07-22
acc_ff10cc0dfe1b,2025-06-06,email,Campaign_E,,normal,2025-06-06
acc_777f9e58b515,2025-06-18,direct,Campaign_A,house-glover.com,normal,2025-06-18
acc_296492171ae6,2025-07-12,google,,,normal,2025-07-12
acc_daf7de05df93,2025-06-14,direct,Campaign_E,higgins.com,normal,2025-06-14
acc_f454f3d6a2ff,2025-06-07,,Campaign_B,,normal,2025-06-07
acc_55c43d12b4fa,2025-07-11,facebook,Campaign_E,,agency,2025-07-11
acc_d785db7d3383,2025-06-28,email,Campaign_C,miller.com,normal,2025-06-28
acc_73cce2bef40c,2025-07-24,direct,Campaign_C,,agency,2025-07-24
acc_6c1a38e666d7,2025-06-28,email,Campaign_B,,normal,2025-06-28
acc_b993749d330d,2025-07-13,direct,Campaign_C,,normal,2025-07-13
acc_9941c503e98f,2025-07-27,organic,Campaign_C,,normal,2025-07-27
acc_378f8885cee8,2025-07-16,direct,Campaign_A,,normal,2025-07-16
acc_9dcb5126f6ee,2025-06-23,direct,Campaign_D,,normal,2025-06-23
acc_f94b69bf9d38,2025-07-18,referral,Campaign_D,,normal,2025-07-18
acc_7e3a7edc8a5b,2025-06-07,facebook,Campaign_C,,normal,2025-06-07
acc_32cb3fceb8b2,2025-07-31,facebook,,,normal,2025-07-31
acc_469900777244,2025-06-17,direct,Campaign_A,,normal,2025-06-17
acc_aaf7a828672c,2025-06-06,facebook,Campaign_E,,normal,2025-06-06
acc_31de0fc92f1a,2025-07-26,referral,Campaign_B,garcia.com,agency,2025-07-26
acc_e794ce616a87,2025-07-13,google,,,normal,2025-07-13
acc_d4180fed7470,2025-07-16,organic,Campaign_C,watts.net,normal,2025-07-16
acc_e334098e15fd,2025-06-28,google,Campaign_D,,normal,2025-06-28
acc_5add6036a8e0,2025-07-07,organic,Campaign_C,,normal,2025-07-07
acc_db8f21f8269a,2025/07/27,direct,Campaign_D,,agency,2025-07-27
acc_2ecb4ad2adf7,2025-07-19,email,Campaign_D,,normal,2025-07-19
acc_eabfeec37ed5,2025-06-28,email,Campaign_F,,normal,2025-06-28
acc_1db7bc743e94,2025-07-02,organic,,,normal,2025-07-02
acc_fa49f372ae90,2025-07-26,referral,Campaign_A,,normal,2025-07-26
acc_db7fdb142891,2025-06-29,google,Campaign_C,,normal,2025-06-29
acc_9c82053f58cf,2025-06-16,email,Campaign_D,deleon-henson.biz,agency,2025-06-16
acc_86c2e3a4ae0f,2025-07-24,facebook,Campaign_E,brady.com,agency,2025-07-24
acc_c7667194910a,2025-06-25,facebook,Campaign_C,,normal,2025-06-25
acc_ad4fba3bec97,2025-07-03,organic,Campaign_B,middleton.com,normal,2025-07-03
acc_84854552ae78,2025-06-23,organic,Campaign_C,,normal,2025-06-23
acc_0369e01c25b0,2025-07-20,,Campaign_E,,normal,2025-07-20
acc_a31f71b68d54,2025/07/02,google,Campaign_F,bailey-hoover.com,normal,2025-07-02
acc_e1b6247e003b,2025-06-10,direct,Campaign_F,,normal,2025-06-10
acc_8e050ac0f16f,2025-06-22,email,Campaign_C,ramirez-jones.com,AGENCY,2025-06-22
acc_369e29244f35,2025-07-14,organic,Campaign_E,,agency,2025-07-14
acc_8007503f053f,2025-07-28,,Campaign_E,,normal,2025-07-28
acc_dfbdcb772b07,2025-06-11,facebook,Campaign_E,carpenter.com,normal,2025-06-11
acc_cb686e13538f,2025-06-17,,Campaign_E,,normal,2025-06-17
acc_48aad9f6f01c,2025-07-11,direct,Campaign_C,obrien-dixon.biz,normal,2025-07-11
acc_d179486e2c68,2025/06/19,email,Campaign_F,,normal,2025-06-19
acc_0fbbf27168f2,2025-07-09,email,Campaign_F,,normal,2025-07-09
acc_caad88ab379d,2025/07/14,email,Campaign_D,,normal,2025-07-14
acc_891a398c5c85,2025-06-24,email,Campaign_F,,normal,2025-06-24
acc_ab58f0a0f2fd,2025-07-03,organic,Campaign_B,parker.com,normal,2025-07-03
acc_3888c7ac5329,2025-06-05,facebook,Campaign_A,,agency,2025-06-05
acc_2ec3b42b1a24,2025-06-26,google,Campaign_A,,normal,2025-06-26
acc_fce5f8d19106,2025-07-14,facebook,Campaign_D,,normal,2025-07-14
acc_eeaad06b7b4e,2025-07-15,organic,,morris.net,normal,2025-07-15
acc_7f4f5c973899,2025-06-25,direct,Campaign_F,,normal,2025-06-25
acc_9d58af3331e8,2025-07-24,direct,Campaign_F,,normal,2025-07-24
acc_513812928037,2025-07-14,organic,Campaign_F,,normal,2025-07-14
acc_b0fd6df611c5,2025-07-13,facebook,Campaign_D,,normal,2025-07-13
acc_ee8123fe5077,2025-07-19,referral,Campaign_A,,AGENCY,2025-07-19
acc_97ac2ca5ac97,2025/07/05,organic,Campaign_A,,normal,2025-07-05
acc_79c2c3d8d4fe,2025-06-17,google,Campaign_C,,normal,2025-06-17
acc_a2c0529b08e1,2025-06-15,,Campaign_E,,agency,2025-06-15
acc_9802bb821e1c,2025-06-26,direct,Campaign_C,,normal,2025-06-26
acc_9d88f2109049,2025-07-11,referral,Campaign_B,,normal,2025-07-11
acc_e9617df106f5,2025-07-25,email,Campaign_E,,normal,2025-07-25
acc_45240964ad9e,2025-06-27,email,Campaign_C,,agency,2025-06-27
acc_57be1e09c0d1,2025-06-06,direct,Campaign_E,,normal,2025-06-06
acc_e43a3dba7f8e,2025-06-23,email,,,normal,2025-06-23
acc_30289d3dbb85,2025-06-10,email,Campaign_E,,normal,2025-06-10
acc_995dea518df2,2025-07-06,referral,Campaign_D,washington.com,normal,2025-07-06
acc_2ec61fc3c707,2025-06-20,organic,Campaign_A,,normal,2025-06-20
acc_7eaa942024be,2025-07-04,facebook,Campaign_C,,agency,2025-07-04
acc_b19a335d8904,2025-06-10,facebook,Campaign_A,,normal,2025-06-10
acc_50edada350b0,2025-07-03,google,Campaign_A,,normal,2025-07-03
acc_4b6bdb90213f,2025-06-04,google,Campaign_F,,normal,2025-06-04
acc_934597c4eb95,2025-06-09,direct,Campaign_A,,normal,2025-06-09
acc_7d9d3c688a89,2025-06-30,google,Campaign_D,,Normal,2025-06-30
acc_3670093d52db,2025-07-31,referral,Campaign_D,,normal,2025-07-31
acc_04ad6cbb2e2a,2025-07-26,organic,Campaign_A,,normal,2025-07-26
acc_f65d60c8e3f2,2025-06-23,email,Campaign_D,,normal,2025-06-23
acc_cff94ec771b7,2025-06-05,facebook,Campaign_D,,normal,2025-06-05
acc_6ab8f26e4f9a,2025-07-10,organic,Campaign_D,,normal,2025-07-10
acc_1b9cce82982a,2025-07-03,google,Campaign_C,,agency,2025-07-03
acc_9db6686ff95d,2025-07-03,direct,Campaign_D,,agency,2025-07-03
acc_7f0f29c0d49a,2025-07-01,referral,Campaign_A,,normal,2025-07-01
acc_d538a95b6b05,2025-06-16,email,Campaign_C,,normal,2025-06-16
acc_e8a49e0f0ba6,2025-07-09,google,Campaign_D,,normal,2025-07-09
acc_fa0fdbd896dd,2025-07-29,referral,Campaign_B,,agency,2025-07-29
acc_444035c14874,2025-07-09,email,Campaign_B,jones.com,normal,2025-07-09
acc_ba6c60a6c75d,2025-07-14,referral,,,agency,2025-07-14
acc_a5e1b82d6376,2025-06-13,facebook,Campaign_A,,normal,2025-06-13
acc_dc99338463a7,2025-07-13,organic,Campaign_D,,normal,2025-07-13
acc_73e0b5d2b07c,2025-07-17,,Campaign_C,,normal,2025-07-17
acc_28dbcaed0205,2025-06-16,organic,Campaign_E,,normal,2025-06-16
acc_bee0dc335f62,2025-07-20,direct,Campaign_C,,agency,2025-07-20
acc_64d0ffd27184,2025-06-24,referral,Campaign_E,,normal,2025-06-24
acc_4156099b86a4,2025-07-24,direct,Campaign_F,rivas.com,normal,2025-07-24
acc_e9711d2e29c1,2025-06-25,google,Campaign_A,,normal,2025-06-25
acc_cb42aa1acff7,2025-07-24,direct,Campaign_A,,normal,2025-07-24
acc_bdc3425f591b,2025-07-06,email,Campaign_C,,normal,2025-07-06
acc_6f128c0be02b,2025/06/05,google,Campaign_C,,normal,2025-06-05
acc_c0924b0f8333,2025-06-23,facebook,Campaign_A,,agency,2025-06-23
acc_5a5ad151b83a,2025-07-03,,Campaign_E,,normal,2025-07-03
acc_4ff03afd9336,2025-06-16,email,Campaign_A,,normal,2025-06-16
acc_72d068327276,2025-07-24,email,Campaign_D,,normal,2025-07-24
acc_892c59f95906,2025-06-03,facebook,Campaign_B,bishop.com,normal,2025-06-03
acc_01719fcb80d9,2025-06-23,google,Campaign_B,freeman.com,normal,2025-06-23
acc_3d83a460976b,2025-06-12,direct,Campaign_C,,normal,2025-06-12
acc_7bf628555d33,2025-06-12,referral,Campaign_A,,normal,2025-06-12
acc_552a6726b542,2025-06-29,google,Campaign_F,,normal,2025-06-29
acc_324997fe93ca,2025-06-26,organic,,joseph.com,normal,2025-06-26
acc_175f95915429,2025-06-16,email,Campaign_C,,agency,2025-06-16
acc_5d1086aaea52,2025-07-07,facebook,Campaign_C,,normal,2025-07-07
acc_5d2841bead6f,2025-07-06,google,Campaign_B,,agency,2025-07-06
acc_f8dd8c77a7cb,2025-07-25,google,Campaign_F,,agency,2025-07-25
acc_c4c2d954af1e,2025-06-05,referral,Campaign_F,newton.com,normal,2025-06-05
acc_7bef071c385f,2025-06-08,facebook,Campaign_A,,normal,2025-06-08
acc_1cfee38d9771,2025-07-27,google,Campaign_C,,normal,2025-07-27
acc_775f83be6d03,2025-06-21,email,Campaign_C,phillips.com,normal,2025-06-21
acc_aacf59972594,2025-06-09,direct,Campaign_E,,normal,2025-06-09
acc_429f13e6624e,2025-07-31,referral,Campaign_E,,normal,2025-07-31
acc_325a65139359,2025-07-03,email,Campaign_F,raymond.com,normal,2025-07-03
acc_28d494c9a674,2025/07/23,google,Campaign_F,,normal,2025-07-23
acc_992f9313754f,2025-07-27,email,Campaign_D,peterson-sheppard.com,normal,2025-07-27
acc_ae445e4c094b,2025-06-11,direct,Campaign_C,wilson-jones.info,normal,2025-06-11
acc_d0be9856f477,2025-06-26,facebook,Campaign_C,,normal,2025-06-26
acc_837ca20babdc,2025-07-31,direct,Campaign_C,hernandez.com,agency,2025-07-31
acc_35ed7a1c7439,2025-06-11,direct,Campaign_C,,normal,2025-06-11
acc_3cbeb5070553,2025-07-08,,Campaign_B,,NORMAL,2025-07-08
acc_8f77e6f8eb37,2025-07-27,organic,Campaign_E,,normal,2025-07-27
acc_8bd010fccf61,2025-07-03,direct,Campaign_B,,agency,2025-07-03
acc_074b50dcd3b2,2025-06-22,referral,Campaign_E,,normal,2025-06-22
acc_03aaabec4cd2,2025-07-01,referral,Campaign_D,,normal,2025-07-01
acc_e3ff2fcfdf63,2025-06-20,referral,Campaign_E,,agency,2025-06-20
acc_5f8080901218,2025-06-27,referral,Campaign_F,,normal,2025-06-27
acc_deea8f7e07e4,2025-07-08,referral,Campaign_A,heath.com,normal,2025-07-08
acc_63e6f129792c,2025-06-16,google,Campaign_E,,normal,2025-06-16
acc_da3037f5c5d0,2025-07-10,direct,Campaign_E,,normal,2025-07-10
acc_8f63b7a5cc0f,2025-06-21,facebook,Campaign_C,brown.org,normal,2025-06-21
acc_7aae80ce43dd,2025-07-01,facebook,Campaign_B,holloway.info,normal,2025-07-01
acc_e43b8c325bdb,2025-07-02,organic,Campaign_D,,normal,2025-07-02
acc_7933a251d128,2025-06-26,organic,Campaign_E,kim-george.biz,normal,2025-06-26
