invoice_id	subscription_id	account_id	invoice_date	amount	currency	status	tax_amount
inv_15035d4d5d98	sub_6169b2dd2a6a	acc_cd0df487207d	2025-08-07	496.71	EUR	paid	78.33
inv_4a0c70008765	sub_f083f925f649	acc_7f19e85e280c	2025-08-23	99.88	USD	paid	14.35
inv_d09fceea5a13	sub_11aa28dbd231	acc_7f19e85e280c	2025-10-07	9.33	EUR	paid	0.71
inv_66f8a397eaa7	sub_1b5cb7f69828	acc_4f9221b823de	2025-08-01	51.59	EUR	paid	9.57
inv_318791bda3fb	sub_1b5cb7f69828	acc_4f9221b823de	2025-08-29	50.73	EUR	paid	6.9
inv_c1bac9a596cb	sub_1b5cb7f69828	acc_4f9221b823de	2025-09-30	51.01	EUR	paid	9.98
inv_d2bb2a4481f9	sub_1b5cb7f69828	acc_4f9221b823de	2025-10-29	50.63	EUR	paid	0.92
inv_0cfc9389253c	sub_b6f954e308b0	acc_80172064e203	2025-09-01	2080.13	INR	paid	190.44
inv_bca6e799af72	sub_b6f954e308b0	acc_80172064e203	2025-09-29	2070.0	INR	paid	187.77
inv_eb108fde8a3d	sub_b6f954e308b0	acc_80172064e203	2025-10-30	2047.2	INR	paid	276.58
inv_1cce731a94b4	sub_cfb761b62366	acc_80172064e203	2025-10-27	55.98	USD	paid	6.39
inv_22a76c58a803	sub_85b7f7e25dca	acc_b4f6cc6c5a8b	2025-07-28	24.28	USD	paid	4.26
inv_e74dc64880ae	sub_85b7f7e25dca	acc_b4f6cc6c5a8b	2025-08-29	24.88	USD	paid	4.06
inv_b67b6d5cffce	sub_85b7f7e25dca	acc_b4f6cc6c5a8b	2025-09-28	25.57	USD	paid	0.87
inv_5bd8f2608388	sub_85b7f7e25dca	acc_b4f6cc6c5a8b	2025-10-27	25.0	USD	paid	4.53
inv_9da97a6762bd	sub_e2ad9c81d08c	acc_fbcfdd93c793	2025-08-29	8551.15	INR	paid	211.74
inv_efaddc959777	sub_e4bb72aab89b	acc_b5a38eeaa4b5	2025-08-03	849.92	INR	paid	136.38
inv_9f4c8429bca1	sub_e4bb72aab89b	acc_b5a38eeaa4b5	2025-09-02	815.11	INR	paid	69.21
inv_56f5bb29364d	sub_e4bb72aab89b	acc_b5a38eeaa4b5	2025-10-02	829.07	INR	paid	108.74
inv_9ccae8c5a97a	sub_701375244caa	acc_fd516f001245	2025-08-13	9.14	EUR	paid	1.33
inv_321d9530c102	sub_701375244caa	acc_fd516f001245	2025-09-10	9.14	EUR	paid	1.07
inv_a4907b74d156	sub_701375244caa	acc_fd516f001245	2025-10-11	9.4	EUR	paid	0.49
inv_43c54f9280a4	sub_ceee7fef6ade	acc_c0ee882b6394	2025-07-14	100.5	USD	paid	4.8
inv_b96505e0d333	sub_6d787117cf99	acc_45b403f77b60	2025-08-08	23.38	EUR	paid	0.45
inv_e3d2172a7bdd	sub_6d787117cf99	acc_45b403f77b60	2025-09-09	23.17	EUR	paid	3.77
inv_9a871cd4312e	sub_6d787117cf99	acc_45b403f77b60	2025-10-08	22.61	EUR	paid	2.5
inv_49ec70497693	sub_a49c74faf433	acc_45b403f77b60	2025-09-17	50.95	EUR	paid	7.43
inv_6fa26b686c44	sub_a49c74faf433	acc_45b403f77b60	2025-10-19	52.47	EUR	paid	7.51
inv_3763b57dafe9	sub_e0f22fb30dc4	acc_45b403f77b60	2025-10-21	20339.58	INR	paid	3355.31
inv_2b1756b6b800	sub_134171d34593	acc_5d49497b349c	2025-06-24	2144.23	INR	paid	402.01
inv_b1c5c80ac6d8	sub_134171d34593	acc_5d49497b349c	2025-07-26	2114.33	INR	paid	138.09
inv_4eae35ff92db	sub_134171d34593	acc_5d49497b349c	2025-08-24	2045.53	INR	paid	188.37
inv_9d8999a1ae50	sub_134171d34593	acc_5d49497b349c	2025-09-23	2048.14	INR	paid	245.81
inv_439f750f7e4e	sub_134171d34593	acc_5d49497b349c	2025-10-22	2122.16	INR	paid	93.04
inv_59643972c707	sub_e796c752b58b	acc_5d49497b349c	2025-08-09	56.17	USD	paid	8.18
inv_ee8b83aa4a35	sub_e796c752b58b	acc_5d49497b349c	2025-09-08	56.48	USD	paid	8.26
inv_5b5ae4c6ea76	sub_e796c752b58b	acc_5d49497b349c	2025-10-08	55.25	USD	paid	5.94
inv_9408900ab4f4	sub_db9f260841f3	acc_5d49497b349c	2025-09-10	10.1	USD	paid	1.02
inv_8194ac117e6a	sub_db9f260841f3	acc_5d49497b349c	2025-10-10	10.01	USD	paid	0.56
inv_120ee903ad0d	sub_47d3f8cc6cb7	acc_f4a28f6b686c	2025-08-01	54.6	USD	paid	8.95
inv_b4bda6098eb9	sub_47d3f8cc6cb7	acc_f4a28f6b686c	2025-08-29	54.04	USD	paid	1.42
inv_5c6de053a758	sub_47d3f8cc6cb7	acc_f4a28f6b686c	2025-09-28	54.29	USD	paid	3.92
inv_23bd1a282aa0	sub_47d3f8cc6cb7	acc_f4a28f6b686c	2025-10-30	53.9	USD	paid	6.12
inv_55f6effb9a69	sub_3d2887132b4a	acc_8cf3be743261	2025-06-18	537.06	USD	paid	26.94
inv_79ba03bd5a20	sub_e51e672be020	acc_2da4bc8814d1	2025-09-05	90.61	EUR	paid	5.25
inv_ad5b5a473944	sub_e1d8e39dd0a6	acc_52e3cd0bae2c	2025-08-24	10.14	USD	paid	0.91
inv_394ce302a1b9	sub_e1d8e39dd0a6	acc_52e3cd0bae2c	2025-09-21	10.16	USD	paid	0.13
inv_35a3ed943f8a	sub_e1d8e39dd0a6	acc_52e3cd0bae2c	2025-10-23	9.95	USD	paid	0.83
inv_eb43d081725f	sub_d46a568cf53e	acc_52e3cd0bae2c	2025-10-08	846.9	INR	paid	159.76
inv_403772694990	sub_e69ac9463c02	acc_264a22a679cd	2025-07-08	42.75	GBP	paid	3.53
inv_c4131076bfef	sub_e69ac9463c02	acc_264a22a679cd	2025-08-09	43.13	GBP	paid	1.74
inv_0f5cb117bea4	sub_e69ac9463c02	acc_264a22a679cd	2025-09-06	43.82	GBP	paid	0.86
inv_3ad4bc0e2172	sub_e69ac9463c02	acc_264a22a679cd	2025-10-07	43.33	GBP	paid	3.75
inv_48eaae21623f	sub_76ed22e0e802	acc_02af0e8cbe21	2025-07-08	80.78	GBP	paid	4.89
inv_959da6816da5	sub_1c506f36df76	acc_4177f4997cc5	2025-07-24	9.86	USD	paid	0.75
inv_a1710650f697	sub_1c506f36df76	acc_4177f4997cc5	2025-08-24	9.92	USD	paid	0.69
inv_9a28c8e1c8ad	sub_1c506f36df76	acc_4177f4997cc5	2025-09-22	10.07	USD	paid	1.75
inv_42ac4cef2db8	sub_1c506f36df76	acc_4177f4997cc5	2025-10-22	9.97	USD	paid	1.89
inv_06e24f8e8956	sub_e95aa1e492b0	acc_4177f4997cc5	2025-08-28	248.14	USD	paid	24.85
inv_50a5c53a255d	sub_e8998474a4f3	acc_1335b4cffd36	2025-08-16	235.92	EUR	paid	33.79
inv_19c0fdd74998	sub_95d0aada306a	acc_60a51d8a8a9d	2025-07-31	20930.35	INR	paid	12.02
inv_4ea50ddff594	sub_93aff8bc5149	acc_97e42d3219d6	2025-08-18	546.6	USD	paid	53.51
inv_869b3249a72b	sub_4ce1e8635c0c	acc_29df969cba0c	2025-07-03	851.19	INR	paid	54.69
inv_cd9aa824cc1e	sub_4ce1e8635c0c	acc_29df969cba0c	2025-08-03	810.97	INR	paid	27.81
inv_b67098206abc	sub_4ce1e8635c0c	acc_29df969cba0c	2025-09-01	833.65	INR	paid	17.66
inv_86fd1593b532	sub_4ce1e8635c0c	acc_29df969cba0c	2025-10-02	815.67	INR	paid	13.23
inv_d40bd9615a05	sub_4ce1e8635c0c	acc_29df969cba0c	2025-10-30	813.94	INR	paid	80.18
inv_8e79150d7658	sub_ab682b69ae81	acc_29df969cba0c	2025-08-09	20254.91	INR	paid	3360.2
inv_497186f88c6c	sub_6aaf7296cbd2	acc_96d3eb07c344	2025-08-11	7.79	GBP	paid	0.19
inv_c1cee66f8ab5	sub_6aaf7296cbd2	acc_96d3eb07c344	2025-09-08	8.01	GBP	paid	0.86
inv_0b931dddfd27	sub_6aaf7296cbd2	acc_96d3eb07c344	2025-10-09	7.84	GBP	refunded	1.35
inv_7133e94da714	sub_3121ecdb9934	acc_0d88c4742617	2025-07-15	24.68	USD	paid	4.1
inv_49e5f11228b3	sub_3121ecdb9934	acc_0d88c4742617	2025-08-15	25.67	USD	paid	5.08
inv_3233f110abce	sub_3121ecdb9934	acc_0d88c4742617	2025-09-13	24.82	USD	paid	2.17
inv_5419ae800de3	sub_3121ecdb9934	acc_0d88c4742617	2025-10-15	24.35	USD	refunded	4.25
inv_ee5671df3e39	sub_ab42490ddf77	acc_97bc8a8a6119	2025-07-24	93.68	EUR	paid	10.41
inv_5ecf69067d8c	sub_118e28021718	acc_89fafce6e700	2025-07-23	233.35	EUR	paid	11.74
inv_bdd728ea8505	sub_25a7b7f7233a	acc_64ee61877335	2025-08-31	239.15	EUR	paid	39.73
inv_b228e5ddc63d	sub_88d9747a9bb3	acc_84f849e7a1da	2025-08-29	101.16	USD	paid	4.6
inv_8e47ce4a23e2	sub_4b647b8a7653	acc_b05d17769442	2025-07-01	9.94	USD	paid	0.41
inv_81ea3531d6cc	sub_4b647b8a7653	acc_b05d17769442	2025-08-01	10.04	USD	paid	1.62
inv_232a1e726c5d	sub_4b647b8a7653	acc_b05d17769442	2025-08-29	9.79	USD	paid	0.31
inv_4ffb4a0ac24b	sub_4b647b8a7653	acc_b05d17769442	2025-09-29	10.2	USD	paid	1.07
inv_5959fa327089	sub_4b647b8a7653	acc_b05d17769442	2025-10-29	9.75	USD	paid	1.83
inv_1270757e401c	sub_312ef688a2c8	acc_e37168684d8c	2025-08-26	8.06	GBP	paid	0.59
inv_e4c603b10fe7	sub_312ef688a2c8	acc_e37168684d8c	2025-09-24	8.11	GBP	paid	0.14
inv_a0f878a767ba	sub_312ef688a2c8	acc_e37168684d8c	2025-10-26	7.79	GBP	paid	1.08
inv_337ebacd27de	sub_b81037ed16a5	acc_cefa91903649	2025-07-20	10.28	USD	paid	1.31
inv_477ea834a6f8	sub_b81037ed16a5	acc_cefa91903649	2025-08-20	9.86	USD	paid	0.38
inv_d20446781cee	sub_b81037ed16a5	acc_cefa91903649	2025-09-18	9.79	USD	paid	1.36
inv_6c92c02c7b16	sub_b81037ed16a5	acc_cefa91903649	2025-10-20	9.92	USD	paid	0.13
inv_3391011a5314	sub_72bff6ed5a03	acc_476954a12228	2025-09-12	98.97	USD	paid	7.84
inv_ec5c6c0a353d	sub_f4dfc36d234b	acc_bf1042661753	2025-07-21	46571.5	INR	paid	5715.37
inv_b5e2442fa44c	sub_171f29ba97f9	acc_026ef1694661	2025-07-31	98.07	USD	paid	7.92
inv_74d6b98a2218	sub_686957f11c4b	acc_aaed032c6418	2025-08-08	81.06	GBP	failed	6.51
inv_42de26d91728	sub_65cfc42f951f	acc_9a1ab8ec7a8c	2025-08-25	25.43	USD	paid	4.36
inv_259432ff35d9	sub_65cfc42f951f	acc_9a1ab8ec7a8c	2025-09-23	25.3	USD	paid	4.1
inv_b4f792875a08	sub_65cfc42f951f	acc_9a1ab8ec7a8c	2025-10-24	24.84	USD	paid	0.31
inv_e83c81876328	sub_12b7787add93	acc_9a1ab8ec7a8c	2025-10-09	9.08	EUR	paid	1.16
inv_3be58f1dbeea	sub_a8015550871f	acc_777f9e58b515	2025-07-02	9.7	USD	paid	1.4
inv_ecd390b8bc59	sub_a8015550871f	acc_777f9e58b515	2025-08-03	9.95	USD	paid	1.33
inv_6e13ea63babf	sub_a8015550871f	acc_777f9e58b515	2025-09-01	10.19	USD	paid	0.01
inv_575be24307f0	sub_a8015550871f	acc_777f9e58b515	2025-10-02	10.1	USD	paid	1.9
inv_6b463c6f8542	sub_6f516d1bc169	acc_777f9e58b515	2025-08-06	10.23	USD	paid	0.13
inv_2fa3660dae94	sub_6f516d1bc169	acc_777f9e58b515	2025-09-06	9.92	USD	paid	0.75
