subscription_id,account_id,plan_name,plan_type,billing_cycle_start_date,billing_cycle_end_date,status,is_trial,trial_start_date,trial_end_date,conversion_flag,renewal_count,cancel_reason,plan_start_date
sub_b8c144996056,acc_7a9a7bd96309,free,free,2025-07-11,,active,False,,,False,0,,2025-07-11
sub_c86e96a334e7,acc_ad1a2288f9f0,free,free,2025-06-02,,cancelled,True,2025-06-02,2025-06-16,False,0,trial_ended,2025-06-02
sub_6169b2dd2a6a,acc_cd0df487207d,ultimate,annual,2025-08-06,2026-08-06,active,True,2025-07-22,2025-08-05,True,0,,2025-08-06
sub_0387683f9653,acc_cb6662778981,free,free,2025-06-23,,cancelled,True,2025-06-23,2025-07-07,False,0,trial_ended,2025-06-23
sub_049d410404ee,acc_7f19e85e280c,free,free,2025-07-10,,active,True,2025-07-10,2025-07-24,False,0,,2025-07-10
sub_f083f925f649,acc_7f19e85e280c,basic,annual,2025-08-21,2025-10-01,cancelled,False,,,False,0,too_expensive,2025-08-21
sub_11aa28dbd231,acc_7f19e85e280c,basic,Monthly,2025-10-05,2025-11-04,active,False,,,False,0,,2025-10-05
sub_2e5e9110a8c6,acc_4f9221b823de,free,free,2025-06-18,,active,False,,,False,0,,2025-06-18
sub_1b5cb7f69828,acc_4f9221b823de,ultimate,monthly,2025-07-30,2025-08-29,active,False,,,False,3,,2025/07/30
sub_8f556ff911d2,acc_94627d272e03,free,free,2025-06-11,,active,False,,,False,0,,2025-06-11
sub_75e98c99847d,acc_80172064e203,free,free,2025-07-20,,active,True,2025-07-20,2025-08-03,False,0,,2025-07-20
sub_b6f954e308b0,acc_80172064e203,pro,monthly,2025-08-30,2025-10-10,cancelled,False,,,False,0,trial_ended,2025-08-30
sub_cfb761b62366,acc_80172064e203,ultimate,monthly,2025-10-25,2025-11-24,active,False,,,False,0,,2025-10-25
sub_85b7f7e25dca,acc_b4f6cc6c5a8b,pro,monthly,2025-07-28,2025-08-27,active,True,2025-07-12,2025-07-26,True,3,,2025-07-28
sub_a273a929641e,acc_233db753bbe9,free,free,2025-07-28,,active,False,,,False,0,,2025-07-28
sub_b44db09f5353,acc_fbcfdd93c793,free,free,2025-07-21,,active,True,2025-07-21,2025-08-04,False,0,,2025-07-21
sub_e2ad9c81d08c,acc_fbcfdd93c793,basic,annual,2025-08-29,2026-08-29,active,False,,,False,0,,2025-08-29
sub_e4bb72aab89b,acc_b5a38eeaa4b5,basic,monthly,2025-08-02,2025-09-01,active,True,2025-07-17,2025-07-31,True,2,,2025-08-02
sub_701375244caa,acc_fd516f001245,basic,monthly,2025-08-11,2025-09-10,active,True,2025-07-27,2025-08-10,True,2,,2025-08-11
sub_28f8a8e3dde1,acc_c0ee882b6394,free,free,2025-06-10,,cancelled,True,2025-06-10,2025-06-24,False,0,no_longer_needed,2025-06-10
sub_ceee7fef6ade,acc_c0ee882b6394,Basic,annual,2025-07-12,2025-09-01,cancelled,False,,,False,0,missing_features,2025-07-12
sub_6d787117cf99,acc_45b403f77b60,pro,monthly,2025-08-08,2025-09-07,active,True,2025-07-24,2025-08-07,True,2,,2025-08-08
sub_a49c74faf433,acc_45b403f77b60,ultimate,monthly,2025-09-17,2025-10-17,active,False,,,False,1,,2025-09-17
sub_e0f22fb30dc4,acc_45b403f77b60,pro,annual,2025-10-20,2026-10-20,active,False,,,False,0,,2025-10-20
